Rol,Testscenario,Verwacht resultaat
Kandidaat,How-to: links **Bewaard** en **Gedeeld**.,Liked/shared.
Kandidaat,How-to: link solliciteren `#`.,Geen navigatie of no-op (anchor).
Kandidaat,How-to: link **Mijn sollicitaties**.,Applications.
Kandidaat,How-to: primary CTA **Naar de kaart** (voltooit how-to).,API `CompleteCandidateHowTo`; nav `/`; fout API: melding maar nav mag doorgaan.
Kandidaat,How-to: secondary **Naar profiel**.,`/candidate/profile`.
Kandidaat,Profiel: **Open voor werk** aan/uit + opslaan.,OpenForWork gezet; PushBom-doelgroep wijzigt.
Kandidaat,"Profiel: naam, telefoon, WhatsApp wijzigen + **Opslaan**.",Opgeslagen; validatie te lange/lege verplichte velden.
Kandidaat,Profiel: thuisadres suggestie kiezen.,HomeLocation gezet (PushBom/reistijd).
Kandidaat,Profiel: adres **wissen** + opslaan.,Locatie leeg; matching/reistijd limited.
Kandidaat,Profiel: adres vrije tekst zonder suggestie.,Geocode-validatie: Systeem eist een selectie uit de adres-suggesties om te zorgen dat reistijd en coördinaten correct worden berekend.
Kandidaat,Profiel: max reistijd + vervoer.,Opgeslagen; kaart gebruikt voorkeur.
Kandidaat,"Profiel: interesses, rijbewijzen, over-jou, standaardmotivatie.","Opgeslagen; AI-coach soft tips mogen tonen, PII-in-tekst hard block."
Kandidaat,AboutMe met telefoonnummer/e-mail in vrije tekst.,Moderatie-blokkade: De AI-coach of moderatielaag waarschuwt of blokkeert het opslaan van directe PII in vrije tekstvelden.
Kandidaat,Profiel: uren min/max + dagdelenmatrix / tijden in overleg.,Matrix opgeslagen; overlap-logica voor match-%.
Kandidaat,Profiel: eigen CV uploaden PDF.,Upload OK; OpenAI vult alleen lege duidelijke velden; Lobsy-CV vermeldt eigen CV.
Kandidaat,CV uploaden DOCX.,Zelfde pad.
Kandidaat,CV uploaden .exe / te groot / leeg.,Validatiefout: Systeem weigert het bestand direct; er vindt geen extractie plaats en er wordt een duidelijke foutmelding getoond.
Kandidaat,CV **vervangen** / **downloaden** / **verwijderen**.,Nieuw bestand / download / verwijderd; extractie niet overschrijft gevulde velden.
Kandidaat,CV-extractie zonder OpenAI-key.,"Graceful degradatie: Het bestand wordt wel opgeslagen in de opslag, maar de automatische veld-extractie wordt overgeslagen zonder log-crash."
Kandidaat,"Ervaring CRUD: toevoegen, wijzigen, verwijderen.",Lijst klopt na opslaan.
Kandidaat,Opleiding CRUD.,Opgeslagen.
Kandidaat,Certificaten CRUD.,Opgeslagen.
Kandidaat,Recensies: toevoegen werkgever+contact+e-mail+telefoon.,Complete recensie telt voor MinimumReferences.
Kandidaat,Recensie incompleet opslaan.,Telt niet als complete reference.
Kandidaat,Recensie max bereikt.,Geen extra add of fout.
Kandidaat,Recensie verwijderen.,Telling daalt; apply-gate kan terugkomen.
Kandidaat,Profiel **Opslaan** success.,Bevestiging; data persistent na reload.
Kandidaat,Profiel opslaan API-fout / not found.,Foutmelding: Systeem vangt de HTTP-fout op en toont een melding aan de gebruiker in plaats van een lege of falende pagina.
Kandidaat,**Download Lobsy-CV** vanaf profiel.,Voorbeeld-PDF (QuestPDF) met profiel + optionele motivatie.
Kandidaat,Profiel **Afmelden** → UnsubscribeDialog.,Zelfde OTP-forget als `/privacy/data`.
Kandidaat,"Deep-link `/candidate/actions/withdraw-others` geldige token: **Ja, trek andere sollicitaties in**.",Andere open sollicitaties ingetrokken; naar applications.
Kandidaat,Withdraw-others: **Liever niet**.,Geen wijziging; terug applications/home.
Kandidaat,Withdraw-others: ongeldige/verlopen token.,Token-weigering: Systeem toont een foutmelding; de massale actie wordt uit veiligheidsoverwegingen volledig geweigerd.
Kandidaat,"Deep-link `/candidate/actions/set-unavailable`: **Ja, zet op Niet beschikbaar**.",OpenForWork uit; naar profiel.
Kandidaat,Set-unavailable: **Annuleren**.,Geen wijziging.
Kandidaat,Set-unavailable: ongeldige token.,Token-weigering: Systeem toont een foutmelding; de massale actie wordt uit veiligheidsoverwegingen volledig geweigerd.
Kandidaat,Open `/hoe-werkt-lobsy` (employer-pad).,"Toegangsblokkade: Systeem retourneert een HTTP 403, een Access Denied-pagina of een redirect naar de homepagina; zero PII-lek."
Kandidaat,"Open `/employer/vacancies`, `/branch/applicants`, `/admin/users`, `/salesmanager`.","Toegangsblokkade: Systeem retourneert een HTTP 403, een Access Denied-pagina of een redirect naar de homepagina; zero PII-lek."
Kandidaat,Open `/employer/tokens`.,"Toegangsblokkade: Systeem retourneert een HTTP 403, een Access Denied-pagina of een redirect naar de homepagina; zero PII-lek."
Kandidaat,Consent-reaccept dialog.,Niet getoond (kandidaat herbevestigt per sollicitatie).
Kandidaat,Solliciteren zonder nieuwe consent-checkbox bij consent-bump.,Per-apply akkoord verplicht; oude sollicitaties blijven.
Kandidaat,Notifications: sollicitatie-statuswijziging (accept/reject).,Bell toont item; deep link naar applications/detail.
Kandidaat,Tweede kandidaat `kandidaat.denhaag@jobsy.local` vs `kandidaat.ver@jobsy.local` op dezelfde vacature.,Reistijd/match-% verschilt; geen data-mix tussen accounts.
Filiaalmanager,Login → `/home`.,"Vestiging-KPI’s Bento, periode-tabs, Top/Flop vacatures, raamflyer."
Filiaalmanager,Klik elke bottom-nav-item.,Juiste route; actieve state; Overnames verborgen als inbox leeg.
Filiaalmanager,TokenWalletChip klikken.,`/branch/tokens`.
Filiaalmanager,Home: periode Dag–Jaar.,KPI’s + Top/Flop herladen.
Filiaalmanager,Home: klik elke metric-tegel.,`/home/metrics/{key}?period=…` drilldown.
Filiaalmanager,Metric-drilldown: periode wisselen + **← Dashboard**.,Nieuwe periode; terug `/home`.
Filiaalmanager,Drilldown overview-link (vacancies/applicants/tokens).,Juiste lijstpagina.
Filiaalmanager,Drilldown leeg / API-fout.,Graceful failure: Het dashboard vangt de fout netjes op met een melding in de component; geen pagina-crash of ongeformatteerde HTTP 500.
Filiaalmanager,Top/Flop: klik vacature.,`/vacancies/{id}`.
Filiaalmanager,"Raamflyer: scope vestiging, A4, **Download**.",PDF per vestiging.
Filiaalmanager,Raamflyer: A3.,A3-PDF.
Filiaalmanager,Raamflyer: downloadfout.,Foutmelding: Systeem toont een duidelijke melding aan de manager; de UI blijft stabiel en breekt niet af.
Filiaalmanager,Banenkaart: toggle **Mijn vacatures** aan.,Alleen eigen open vacatures; uit = publiek.
Filiaalmanager,Mijn vacatures zonder actieve open vacatures.,"Lege staat (Empty-state): Systeem toont een heldere melding (""Je beheert geen actieve open vacatures."") in plaats van een lege tabel of een serverfout."
Filiaalmanager,Hoe werkt Lobsy `/hoe-werkt-lobsy`: alle stappen + primary **Vacatures** + secondary **Home**.,"Branch-guide; deep links `/home`, `/branch/vacancies`, applicants, tokens, company, takeovers, kaart."
Filiaalmanager,How-to: klik elke deep link in de stappen.,Landt op genoemd scherm.
Filiaalmanager,Vacatures `/branch/vacancies` (= `/employer/vacancies`): **Nieuwe vacature**.,`/branch/vacancies/new`.
Filiaalmanager,Vacatures: zoekveld + sort start/eind.,Client-side filter/sort.
Filiaalmanager,Vacatures: salary-table filter wissen (`?salaryTableId=`).,Filter weg; volle lijst.
Filiaalmanager,Vacatures: rij / dubbelklik / **Bekijken**.,Detail `/vacancies/{id}`.
Filiaalmanager,Vacatures: metric-cel klikken.,Detail met `?metric=`.
Filiaalmanager,Rijmenu **Contactvoorkeur** opslaan (kanalen aan/uit).,Direct-contact voorkeur opgeslagen.
Filiaalmanager,Contactvoorkeur dialog annuleren.,Geen wijziging.
Filiaalmanager,**E-mailcheck aanzetten/uitzetten**.,RequireEmailVerification togglet; apply-OTP-plicht volgt.
Filiaalmanager,**Dupliceren**.,Create-pagina `?from={id}` vooringevuld concept.
Filiaalmanager,**Bewerken** draft/active.,`?edit={id}`.
Filiaalmanager,Bewerken/dupliceren van incomplete draft.,Blokkade: De dupliceer-optie is verborgen of uitgeschakeld zolang de bron-draft niet volledig is ingevuld.
Filiaalmanager,**Publiceren** op complete Draft.,"PublishOptionsDialog: basis aan (disabled), Highlight, PushBom, Verlengen."
Filiaalmanager,"Publish dialog: alleen basis, voldoende tokens.",Status Active; tokens afgeboekt (Publish).
Filiaalmanager,Publish: Highlight aan (categorie staat het toe).,Extra tokenkost; highlight zichtbaar op kaart/carousel.
Filiaalmanager,Publish: Highlight terwijl categorie Highlight uit heeft.,Optie verborgen/disabled.
Filiaalmanager,Publish: PushBom aan → preview 0 kandidaten.,Verzendblokkade: De bevestigingsknop blijft uitgeschakeld (disabled) om onnodige token-inzet bij nul bereik te voorkomen.
Filiaalmanager,Publish: PushBom met bereik + bevestigen.,PushBom verstuurd; spend PushBom; OpenForWork-kandidaten in radius.
Filiaalmanager,Publish: Extend aanvinken.,+extend-kost; looptijd +14d.
Filiaalmanager,Publish: **Annuleren**.,Blijft Draft; geen spend.
Filiaalmanager,Publish bij onvoldoende tokens **mét** kooprecht.,Betaalflow: Systeem opent de TokenTopUpDialog (Mollie-integratie); na een succesvolle betaling wordt de uitgestelde actie automatisch uitgevoerd.
Filiaalmanager,Publish bij onvoldoende tokens **zonder** kooprecht (TokensManagedByEnterprise).,Goedkeuringsstatus: De status springt automatisch naar PendingApproval in plaats van een betaalwand; een enterprise-manager of admin moet de actie goedkeuren.
Filiaalmanager,Publish: KVK nog niet Verified (pending registratie).,Publicatieblokkade: Systeem blokkeert de actie volledig en toont een melding dat de bedrijfsverificatie nog voltooid moet worden.
Filiaalmanager,Actieve vacature: **Highlight**.,Spend of top-up; al gehighlight: knop weg.
Filiaalmanager,Actieve vacature: **PushBom** → confirm dialog.,Verzendblokkade: De bevestigingsknop blijft uitgeschakeld (disabled) om onnodige token-inzet bij nul bereik te voorkomen.
Filiaalmanager,Actieve vacature: **Verlengen**.,Looptijd + tokens of top-up.
Filiaalmanager,Actieve vacature: **Deactiveren**.,Archived/inactive; verdwijnt van publieke kaart.
Filiaalmanager,Gearchiveerd: **Reactiveren**.,Extend-pad; tokens nodig.
Filiaalmanager,**Goedkeuren** PendingApproval.,Knop **niet** zichtbaar (alleen EM/Admin).
Filiaalmanager,Lifecycle-actie API-fout.,Visuele rollback: Systeem toont een foutmelding en draait de visuele status-update in de UI direct terug om desync te voorkomen.
Filiaalmanager,Nieuwe vacature: verplichten leeg opslaan.,Validatiefout: Client- en servervalidatie blokkeren de opslag; verplichte velden worden gemarkeerd met duidelijke foutmeldingen.
Filiaalmanager,"Nieuwe vacature: titel, categorie, beschrijving (toolbar H2/B/I/lijst/link), media-URL’s.",Concept opslaan lukt; moderatie-dialog kan ‘Tekst aanpassen’ eisen.
Filiaalmanager,Moderatie-dialog: tekst aanpassen vs negeren/sluiten.,Moderatie-dialog: Systeem verplicht de manager om de tekst aan te passen voordat de draft kan worden opgeslagen of gepubliceerd.
Filiaalmanager,"Create: extra categorevelden, exclusivity stage, salaristabel, rijbewijs, opleiding, min werkgevers/recensies, uren, dagdelen / in overleg, wettelijke vinkjes + `[i]` tooltips.",Velden opgeslagen; legal flags verplicht voor matching.
Filiaalmanager,Create: direct contact + kanalen.,Na apply ziet kandidaat contactmodal.
Filiaalmanager,Create: e-mailverificatie-toggle.,Apply vereist OTP als aan.
Filiaalmanager,Create: meerdere vestigingen — max vestigingen overschrijden.,Validatie/disabled extra.
Filiaalmanager,Create: vestiging van een **ander** bedrijf kiezen.,"Toegangsweigering: De vestiging verschijnt niet in de selectielijst, of de API retourneert een HTTP 403 / weigering bij het opslaan."
Filiaalmanager,**Opslaan als concept** success.,Terug naar lijst als Draft.
Filiaalmanager,Create: intermediair-KVK-blok.,Niet getoond (geen uitzend-KVK-plicht).
Filiaalmanager,Sollicitaties `/branch/applicants`: filters Alles/Open/Accepted/Matched/Rejected.,Client filter; telling klopt (alleen e-mail-verified).
Filiaalmanager,Applicants: rij uitklappen vóór Accept.,Progressive Disclosure-blokkade: De knoppen zijn afwezig of retourneren een HTTP 403; kandidaat-PII en CV's zijn ten strengste afgeschermd tot de manager de kandidaat expliciet accepteert.
Filiaalmanager,Download Lobsy-CV / eigen CV vóór Accept.,Progressive Disclosure-blokkade: De knoppen zijn afwezig of retourneren een HTTP 403; kandidaat-PII en CV's zijn ten strengste afgeschermd tot de manager de kandidaat expliciet accepteert.
Filiaalmanager,**Accepteren**.,Status Accepted; PII + beide CV-downloads zichtbaar.
Filiaalmanager,Na Accept: naam/e-mail/telefoon/adres zichtbaar.,Progressive disclosure; recensie-contacten niet vóór Accept.
Filiaalmanager,**Weigeren** → confirm **Weigeren**.,Rejected; PII blijft verborgen.
Filiaalmanager,Weigeren: dialog sluiten/annuleren.,Status ongewijzigd.
Filiaalmanager,Na Accept: **Uitnodigen**.,EmployerContacting.
Filiaalmanager,Na Accept/Contacting: **Matchen**.,Confirm: afwijzen overige + vacature sluiten checkboxes; Hired/Filled.
Filiaalmanager,"Match: overige afwijzen aan, sluiten vacature aan.",Andere kandidaten FilledElsewhere/Rejected; vacature niet meer Active.
Filiaalmanager,Match: beide opties uit.,Alleen deze Hired; vacature/anderen volgens rules.
Filiaalmanager,Match/invite/reject API-fout.,Visuele rollback: Systeem toont een foutmelding en draait de visuele status-update in de UI direct terug om desync te voorkomen.
Filiaalmanager,Download Lobsy-CV na Accept.,PDF.
Filiaalmanager,Download geüpload CV na Accept (als aanwezig).,Bestand; ontbreekt: knop weg.
Filiaalmanager,Match-% kleur + breakdown klikken.,Breakdown-modal; vangnet-indicatie indien ViaSafetyNet.
Filiaalmanager,Applicants van vacature andere vestiging (ID in URL/API).,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Filiaalmanager,Tokens `/branch/tokens` zonder enterprise-beheer: pakket kiezen + iDEAL/creditcard.,Mollie checkout; webhook bijschrijving; log Purchase.
Filiaalmanager,Tokens: checkout annuleren bij Mollie.,Geen tokens; terug wallet; pending actie niet uitgevoerd.
Filiaalmanager,Tokens: `/tokens/checkout-return` success.,Poll tot bijschrijving; redirect/actie uitgevoerd; chip-saldo omhoog.
Filiaalmanager,Checkout-return zonder paymentId / timeout.,Fout + **Opnieuw proberen** + link tokens.
Filiaalmanager,Checkout-return: **Opnieuw proberen**.,Herberekent status; geen dubbele spend (idempotent).
Filiaalmanager,Dev stub `/tokens/checkout-stub`.,Simuleert betaling indien AllowStubPayments.
Filiaalmanager,Tokens wanneer TokensManagedByEnterprise.,Geen koop-UI; melding; read-only saldo/logs.
Filiaalmanager,Tokenlog filter.,Logs herladen; geen plaintext e-mails; geen full IBAN.
Filiaalmanager,Allocate-tokens UI.,Niet beschikbaar.
Filiaalmanager,"Bedrijfsgegevens `/employer/company`: KVK read-only, contactvoorkeur opslaan.",Opgeslagen voor vestiging/org-select indien meerdere.
Filiaalmanager,Company: betaalvoorkeur + factuurhistorie PDF.,PDF-download; full IBAN nergens in UI.
Filiaalmanager,Company: e-mailverificatie org-default.,Mag gezet worden volgens auth; CSV-toggle alleen org-root (waarschijnlijk hidden).
Filiaalmanager,Company: API-key genereren/mailen/deactiveren/copy.,Modals; secret één keer; copy-fout netjes.
Filiaalmanager,Overnames `/employer/takeovers` met inbox: **Goedkeuren**.,Org-merge; inbox leeg → nav-item mag verdwijnen.
Filiaalmanager,Overnames: **Afwijzen**.,Request rejected; claimant krijgt geen eigendom.
Filiaalmanager,Takeover zonder e-mailverificatie claimant.,Niet in inbox / niet approvebaar tot verified.
Filiaalmanager,"Open `/employer/users`, `/employer/organization`, `/employer/regions`, `/employer/salary-tables`, `/employer/csv-import`.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Filiaalmanager,Open `/admin/*`.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Filiaalmanager,Open `/regional/branches` als BM zonder lidmaatschap.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Filiaalmanager,Approve-publish API direct aanroepen.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Filiaalmanager,Consent-bump: blocking **Akkoord en verder** (niet-kandidaat).,Geen dismiss; links legal; na akkoord app bruikbaar; client-supplied ConsentVersion genegeerd.
Filiaalmanager,Consent dialog: sluiten/Escape.,Blijft blokkeren tot akkoord.
Filiaalmanager,Als claim `HasCandidateApplications`: extra nav **Mijn sollicitaties**.,Read-only candidate applications; **geen** Intrekken.
Filiaalmanager,Als `HasSalesReferral`: tokens-navlabel **Mijn Saldo & Tracking**.,Zelfde tokens-URL; tracking zichtbaar.
Filiaalmanager,`/branch` alias.,Redirect `/home`.
Filiaalmanager,Vacaturedetail publiek van eigen vacature.,Zichtbaar; apply-als-kandidaat niet (tenzij dual-role).
Regiomanager,Login → `/home`.,Regio-KPI’s; raamflyer met overview-optie; Top/Flop.
Regiomanager,Klik elke bottom-nav + Tokenchip.,"Home, `/`, `/employer/vacancies`, `/regional/branches`, how-to; chip `/employer/tokens`."
Regiomanager,"Home periode-tabs, metric-tegels, drilldown, Top/Flop, raamflyer A4/A3 overview + vestiging.",Zelfde patronen als BM maar regio-scope.
Regiomanager,"How-to: alle deep links (home, vacancies, branches, tokens, kaart) + CTA’s.",Regional-guide; primary **Mijn vestigingen**.
Regiomanager,Vacatures: zoeken/sorteren/bekijken/metrics.,Werkt.
Regiomanager,Vacatures: Nieuwe vacature / Publiceren / Highlight / PushBom / Verlengen / Deactiveren / Dupliceren / Bewerken / Contact / E-mailcheck / Approve.,Validatie-blokkade: Server-side rollencontrole weigert de wijziging en retourneert een melding dat de wijzigingsbevoegdheid ontbreekt voor die specifieke vestiging.
Regiomanager,Direct `/branch/vacancies/new`.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de algemene homepagina; geen inzage in bedrijfsbrede of ongeautoriseerde vestigingsdata.
Regiomanager,Applicants: filters + uitklappen.,Pre-PII screening zichtbaar; **geen** Accept/Reject/Invite/Match/CV-download-acties.
Regiomanager,Applicants react API forceren.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de algemene homepagina; geen inzage in bedrijfsbrede of ongeautoriseerde vestigingsdata.
Regiomanager,Tokens `/employer/tokens`: saldo + logs + filter.,Budget-restrictie: Systeem weigert de vrijgave of vereist een escalatie naar een hoger niveau (Admin / Enterprise Manager) zolang er geen saldo of goedkeuring is.
Regiomanager,Link `/regional/tokens`.,Budget-restrictie: Systeem weigert de vrijgave of vereist een escalatie naar een hoger niveau (Admin / Enterprise Manager) zolang er geen saldo of goedkeuring is.
Regiomanager,Regional tokens: link terug employer tokens.,Werkt.
Regiomanager,Mijn vestigingen `/regional/branches`: lijst tokens + actieve vacatures.,Alleen eigen regio-vestigingen.
Regiomanager,Branches: EM-invite / KVK-register knoppen.,Validatie-blokkade: Server-side rollencontrole weigert de wijziging en retourneert een melding dat de wijzigingsbevoegdheid ontbreekt voor die specifieke vestiging.
Regiomanager,"Open `/employer/users`, organization, regions edit, salary create, csv-import, takeovers approve.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de algemene homepagina; geen inzage in bedrijfsbrede of ongeautoriseerde vestigingsdata.
Regiomanager,"Open `/admin/*`, `/salesmanager`, `/ambassadeur`.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de algemene homepagina; geen inzage in bedrijfsbrede of ongeautoriseerde vestigingsdata.
Regiomanager,Banenkaart **Mijn vacatures**.,"Lege staat (Empty-state): Systeem toont een heldere melding dat er geen data of vestigingen binnen de geselecteerde regio actief zijn, zonder visuele artefacten of lege tabellen."
Regiomanager,`/regional` alias.,Redirect `/home`.
Regiomanager,Consent-reaccept + AVG export/afmelden.,Zelfde blocking consent als andere non-candidates; export zonder andermans kandidaat-PII voorbij accept-regels.
Regiomanager,Optional candidate-applications claim.,Read-only mijn sollicitaties indien gezet.
Regiomanager,Drilldown `/home/metrics/{key}` onbekende key.,"Graceful empty-state: Het dashboard vangt de fout op, toont een nette melding binnen de component en voorkomt een ongecontroleerde pagina-crash of HTTP 500."
Regiomanager,Tenant: vacature/tokens van andere regio via ID.,Autorisatie-weigering: Systeem blokkeert de actie op basis van de server-side scope; de manager kan alleen ingrijpen binnen de eigen geautoriseerde vestigingen.
Bedrijfsmanager,Login desktop → `/home`.,"Org-KPI’s, Top/Flop, raamflyer overview, Organization in bottom-nav."
Bedrijfsmanager,Login/smalle viewport: Organization-item.,Verborgen (`desktop-only`); overige ops-nav zichtbaar.
Bedrijfsmanager,Klik elke mobile-nav + Tokenchip + How-to.,Juiste routes; chip `/employer/tokens`.
Bedrijfsmanager,Desktop: **Organisatie**.,`/employer/organization` hub + subnav.
Bedrijfsmanager,"Home: alle periode-tabs, tegels, drilldowns, Top/Flop, flyer A4/A3 vestiging+overview.",Downloads/KPI’s org-breed.
Bedrijfsmanager,How-to Enterprise: alle stappen + links home/vacancies/tokens/users/organization + CTA’s.,Guide klopt; organization-link op desktop bruikbaar.
Bedrijfsmanager,"Vacatures: volledige lifecycle zoals BM (new, edit, duplicate, contact, e-mailcheck, publish options, highlight, PushBom, extend, deactivate, reactivate).",Acties slagen binnen org-scope.
Bedrijfsmanager,PendingApproval: **Goedkeuren**.,Publish voltooid (tokens/org-pot volgens rules); vacature Active of fout als nog geen saldo.
Bedrijfsmanager,Approve zonder saldo.,Saldo-restrictie: Systeem weigert de goedkeuring of vereist een directe token-topup voordat de vacature live kan worden gezet via de enterprise-wallet.
Bedrijfsmanager,Applicants: volledige Accept → PII → Invite → Match (met/zonder others/close) → Reject + CV-downloads.,Zelfde progressive disclosure.
Bedrijfsmanager,Tokens: checkboxes **tokenbeheer per vestiging** opslaan.,BM van die vestiging kan daarna niet meer kopen.
Bedrijfsmanager,Tokens: beheer uitzetten voor vestiging.,BM mag weer kopen.
Bedrijfsmanager,Tokens kopen in organisatiopot (elk pakket Standard/FirstYear/Enterprise + betaalmethode).,Mollie; pot omhoog; Purchase-log; geen incasso-herhaling.
Bedrijfsmanager,Tokens: checkout cancel / fail webhook / dubbele webhook.,Geen dubbele bijschrijving; fail = geen tokens.
Bedrijfsmanager,Tokens **uitgeven** naar aangevinkte vestigingen.,Allocation-log; vestigingssaldo omhoog; pot omlaag.
Bedrijfsmanager,Uitgeven zonder selectie / bedrag 0 / meer dan pot.,Formuliervalidatie: Client- en servervalidatie blokkeren de actie en markeren de ontbrekende velden met duidelijke foutmeldingen.
Bedrijfsmanager,Tokenlog filter op bedrijfsnaam.,Gefilterde logs; geredigeerde e-mails.
Bedrijfsmanager,Link `/regional/tokens` als EM.,Allocate-UI zichtbaar; toewijzen werkt.
Bedrijfsmanager,Partner-tabs op tokens (toolkit/referrals) indien affiliate.,Copy/share flyer; `/employer/sales` redirect naar tokens-tab.
Bedrijfsmanager,`/employer/onboarding-checkout` €2500 stub (indien gebruikt).,Stub-checkout of niet in nav; geen prod-charge zonder Mollie.
Bedrijfsmanager,Gebruikers `/employer/users`: lijst.,EM/RM/BM van de org.
Bedrijfsmanager,"User **bewerken**: naam, rol EM/RM/BM, primary + memberships, actief.",Opgeslagen; verkeerde rol (Admin/Candidate) niet kiesbaar.
Bedrijfsmanager,User inactief zetten.,Kan niet meer inloggen / 403 op org-API.
Bedrijfsmanager,User membership andere org geven.,Scope-weigering: Systeem blokkeert de actie op basis van organisatie-isolatie; managers kunnen uitsluitend sturen binnen de eigen gekoppelde bedrijfsstructuur.
Bedrijfsmanager,**Uitnodigen** e-mail+naam+rol+vestigingen.,Invite-mail stub; user verschijnt/pending.
Bedrijfsmanager,Invite: ongeldig e-mail / bestaande user / lege naam.,Formuliervalidatie: Client- en servervalidatie blokkeren de actie en markeren de ontbrekende velden met duidelijke foutmeldingen.
Bedrijfsmanager,"Organization hub: klik elke modulekaart (Bedrijf, Vestigingen, Regio’s, Salaristabellen, CSV indien enabled, Overnames).",Juiste pagina + EnterpriseOrgSubnav.
Bedrijfsmanager,Organization op **mobiel** openen via URL.,DesktopPreferredNotice; pagina’s blijven beperkt bruikbaar.
Bedrijfsmanager,Subnav: elk org-item aanklikken.,Active state; inhoud wisselt.
Bedrijfsmanager,Company details: alle velden + contact/billing/CSV-flag (root) + API keys generate/email/deactivate/copy.,Opslaan OK; secrets niet in page-source na reload; IBAN gemaskeerd.
Bedrijfsmanager,API-key copy modal sluiten zonder copy.,Key niet later terugleesbaar in full.
Bedrijfsmanager,Vestigingen: **EnterpriseManager uitnodigen** (org+email+naam).,Invite.
Bedrijfsmanager,Per vestiging **BranchManager uitnodigen**.,Invite gekoppeld aan vestiging.
Bedrijfsmanager,KVK-stub lookup + **Registreer vestiging**.,Nieuwe establishment in org.
Bedrijfsmanager,KVK lookup leeg/fout / vestiging al in gebruik.,Validatie-blokkade: Systeem vereist formele verificatie en weigert automatische overnames om onbevoegde vestigingswissels te voorkomen.
Bedrijfsmanager,Vestigingen: link takeovers.,`/employer/takeovers`.
Bedrijfsmanager,Regio’s: **aanmaken** naam+org+vestiging-checkboxes.,Regio bestaat; RM-scope.
Bedrijfsmanager,Regio **bewerken** / **verwijderen**.,Update/delete; vestigingen los.
Bedrijfsmanager,Regio: **RegionalManager uitnodigen**.,Invite.
Bedrijfsmanager,Regio zonder vestigingen opslaan / delete met gekoppelde RM.,Formuliervalidatie: Client- en servervalidatie blokkeren de actie en markeren de ontbrekende velden met duidelijke foutmeldingen.
Bedrijfsmanager,"Salaristabellen: lijst → detail → **nieuw** (schalen 15–21+, actief, allowed branches).",Tabel kiesbaar op vacatures.
Bedrijfsmanager,Salaristabel bewerken + link gefilterde vacatures + vacaturedetail.,Filter `salaryTableId`; detail opent.
Bedrijfsmanager,Systeem-WML-tabel bewerken.,Niet editable.
Bedrijfsmanager,Salaristabel: ongeldige tarieven / geen naam.,Formuliervalidatie: Client- en servervalidatie blokkeren de actie en markeren de ontbrekende velden met duidelijke foutmeldingen.
Bedrijfsmanager,"CSV-import (flag aan): org + default branch, dropzone geldige CSV, **Import N rijen**.",Draft-vacatures; celebrate → Vacatures.
Bedrijfsmanager,CSV: ontbrekende verplichte uren/legal flags.,Formuliervalidatie: Client- en servervalidatie blokkeren de actie en markeren de ontbrekende velden met duidelijke foutmeldingen.
Bedrijfsmanager,CSV: dagdelen leeg.,Importeert als ‘Tijden in overleg’.
Bedrijfsmanager,CSV: verkeerd bestandstype / leeg / te groot.,"Graceful empty-state: Het dashboard vangt de fout op, toont een nette melding binnen de component en voorkomt een ongecontroleerde pagina-crash of HTTP 500."
Bedrijfsmanager,CSV-nav item als flag uit.,Niet in hub/nav.
Bedrijfsmanager,Takeovers: **Goedkeuren** / **Afwijzen**.,Merge of reject; org-boom klopt.
Bedrijfsmanager,Free-publish-until / always-free categorie.,Publiceren zonder token of met 0-kost volgens settings.
Bedrijfsmanager,"Open `/admin/*`, `/intermediary/team`, `/salesmanager/invoices`.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de homepagina; geen ongeautoriseerde inzage in bedrijfsbrede PII of financiële data.
Bedrijfsmanager,PartnerSales payout stub `/employer/partner-sales` paden indien in UI.,Alleen EM/Intermediary authorize; payout IBAN gemaskeerd.
Bedrijfsmanager,Consent-reaccept blocking.,Verplicht vóór org-beheer.
Bedrijfsmanager,HasCandidateApplications / HasSalesReferral nav-varianten.,Read-only sollicitaties; Saldo & Tracking-label.
Intermediair,Login → `/home`.,KPI-dashboard **zonder** raamflyer; links vacancies/tokens/applicants.
